Dataset,Sample_Size,Num_Items,Num_latent,Recovery_Rate,p_sparse,final_loss,est_sim,true_sim
1,100,10,2,1,0,58.31606781,0.122075777,5.351577282
2,100,100,2,1,0,192.2257239,0.282501559,19.67604172
3,100,1000,2,1,0,814.9357555,0.266648088,51.03098201
4,500,10,2,1,0,243.9199939,0.085848262,5.423827889
5,500,100,2,1,0,502.4485375,0.30209139,32.49575934
6,500,1000,2,1,0,1409.217145,0.299165237,102.2029645
7,100,10,2,1,0.5,228.7393288,2.330270659,8.201053765
8,100,100,2,0.92,0.5,1242.148243,7.570180407,15.90228352
9,100,1000,2,0.962,0.5,2276.944012,31.94564018,28.36837557
10,500,10,2,1,0.5,1108.285714,2.042014238,1.043086868
11,500,100,2,0.9,0.5,3336.766654,8.592758324,23.92864095
12,500,1000,2,0.935,0.5,7934.472105,18.12077678,48.36119364
13,100,10,2,1,0.8,191.6238144,1.040256077,3.338731368
14,100,100,2,0.99,0.8,1081.392012,5.100690606,11.24447668
15,100,1000,2,0.995,0.8,2204.70548,24.51572803,15.13178716
16,500,10,2,0.6,0.8,348.6280708,1.118744084,6.166562992
17,500,100,2,1,0.8,1411.739685,5.216432884,4.338427136
18,500,1000,2,1,0.8,3182.402186,20.22701247,17.40179393
19,100,10,2,1,0,12.50064001,0.105959377,9.613045405
20,100,100,2,1,0,39.7407864,0.251701749,0.666272882
21,100,1000,2,1,0,173.4554299,0.260261144,52.92158433
22,500,10,2,1,0,51.23118569,0.081911749,5.824569443
23,500,100,2,1,0,103.3050437,0.309345347,2.870179806
24,500,1000,2,1,0,303.4578966,0.303087592,50.48671509
25,100,10,2,0.4,0.5,786.0298549,1.784759899,7.650581068
26,100,100,2,0.98,0.5,626.5589801,7.952081294,7.614852187
27,100,1000,2,0.971,0.5,3727.361145,22.16029979,52.62846232
28,500,10,2,0.7,0.5,2733.550137,1.863078764,3.650888959
29,500,100,2,0.99,0.5,2032.286572,7.312615538,26.66962354
30,500,1000,2,0.855,0.5,7814.276573,30.37905738,74.19746059
31,100,10,2,0.6,0.8,352.6218956,4.779386565,8.884177602
32,100,100,2,1,0.8,387.8202595,5.098214602,10.33871051
33,100,1000,2,0.68,0.8,2006.828601,17.25471561,47.59110723
34,500,10,2,0.8,0.8,49.1126021,0.087769446,3.526472172
35,500,100,2,0.68,0.8,2745.492309,7.322291383,14.50837968
36,500,1000,2,0.996,0.8,2261.441189,22.48046753,17.71055211
37,100,10,2,1,0,0.464878591,0.134717884,5.299529367
38,100,100,2,1,0,0.22860932,0.348371438,15.22497349
39,100,1000,2,1,0,1.757476244,0.259837557,49.85486175
40,500,10,2,1,0,0.037364189,0.059858004,5.117095685
41,500,100,2,1,0,0.749977631,0.304970228,15.77937446
42,500,1000,2,1,0,1.69204999,0.308484497,50.81246102
43,100,10,2,0.9,0.5,494.5026487,2.166450535,5.158265573
44,100,100,2,0.97,0.5,1620.944404,6.770736513,25.59075331
45,100,1000,2,0.908,0.5,4243.062311,24.80186187,22.98179497
46,500,10,2,0.6,0.5,256698.0718,32.91443743,10.50180878
47,500,100,2,0.93,0.5,3176.184336,7.819999143,14.69928928
48,500,1000,2,0.995,0.5,4022.917438,24.9177547,57.04110416
49,100,10,2,0.8,0.8,391.631133,1.084764712,3.773589586
50,100,100,2,0.99,0.8,446.5986497,4.029295777,17.3221986
51,100,1000,2,1,0.8,1099.604602,17.31892118,37.12748104
52,500,10,2,0.9,0.8,1466.111308,14.87031844,5.765226299
53,500,100,2,0.7,0.8,862.2964963,5.49976569,16.34121195
54,500,1000,2,1,0.8,2477.778632,18.2548198,35.24857705
